ID,Renta_secc,n,distance,feature_x,feature_y,nearest_x,nearest_y
"28162","13088","1",1005.606044447835870,460947.711895166779868,4498486.299670499749482,459971.690083566238172,4498244.173794331960380
"28164","14103","1",1250.798668952231083,456695.611360532289837,4504495.148513150401413,456346.155121898918878,4503294.158235282637179
"28165","10139","1",0.394064400843539,474198.245260261930525,4460566.300972475670278,474198.053388406406157,4460565.956774940714240
"28167","11751","1",851.999950437016651,459585.683601510885637,4468255.646350437775254,458959.655232354241889,4468833.567103271372616
28168_AM,"13292","1",1910.802438476266389,455273.251651344820857,4513074.609348527155817,456974.993001047288999,4512205.562550247646868
28169_AM,"14956","1",1405.055579049446806,446911.096329165040515,4518239.603212537243962,446475.140250855823979,4519575.314063733443618
28170_AM,"9740","1",895.332675868529122,456236.190374075260479,4441248.150664813816547,456956.117156953550875,4440715.866879815235734
"28171","9554","1",2652.282506137546534,388945.976533738547005,4459116.150003788992763,387556.571998368657660,4456856.911740688607097
"28172","12289","1",830.891070166919690,472390.533620724221691,4476899.767719239927828,473107.396993072703481,4476479.664308317936957
"28174","10981","1",0.258176205139964,404696.817768738546874,4460744.926628130488098,404697.030207580770366,4460745.073341085575521
"28176","15873","1",610.055407313489809,416441.283779661345761,4477933.489110587164760,416373.549881958577316,4478539.772640871815383
"28177","14365","1",864.908977484116008,417923.572927148838062,4482644.539532227441669,418747.142906653170940,4482380.342582601122558
28178_AM,"12066","1",2437.859407569483210,405440.424732596962713,4468276.155290068127215,407415.052154246717691,4469705.842331606894732
28179_AM,"13161","1",3475.226765283630812,477661.405108894046862,4461727.262355295941234,479538.574238225875888,4464651.888336515985429
"28180","10524","1",2984.182436230367330,477146.347194981295615,4442208.097615418955684,479972.797769717115443,4441250.746080568060279
"28181","20516","1",1436.519476311389781,420441.319742096762639,4468210.917066621594131,420400.421034074272029,4469646.854217580519617
28183_AM,"14241","1",3777.094793735540406,393708.596270366397221,4490354.327263480983675,395388.846497655962594,4486971.546712727285922
28901_AM,"16428","1",1636.190849063186761,455383.101396008743905,4537594.438792922534049,455556.016738359816372,4535967.410588207654655
"28903","23888","1",285.513797994035542,438587.451954001095146,4495867.314057164825499,438312.874947337084450,4495789.047868702560663
"29001","7674","1",83.300529173991791,352038.350115675420966,4121377.766031760256737,351997.853286199329887,4121450.560159016400576
29002_AM,"8412","1",2899.535581903890488,400288.734840403776616,4083135.260249983984977,402625.131236757035367,4081418.123543185647577
"29005","7855","1",695.685058697751515,406800.397399727022275,4069460.383479843847454,407432.706800448417198,4069750.491257496178150
"29007","10670","1",476.722060189296258,358521.762800026044715,4058492.028276092838496,358045.557776258094236,4058469.831474311649799
"2900801","6861","1",238.406921801297869,349539.574419418524485,4056763.973209352698177,349319.073137057304848,4056854.621126261074096
"2900802","7869","1",225.748959445913272,348577.906634486804251,4056258.154205046594143,348379.290812535968143,4056365.459134858101606
"2900803","8096","1",165.734075032282419,349497.465099404274952,4057282.105833539739251,349653.972870266065001,4057227.579681221395731
29009_AM,"7873","1",2418.721210775627696,389737.800825552898459,4078005.660524567123502,387906.159661917248741,4079585.313316522166133
"29011","8141","1",1401.132367084396719,361927.530034592025913,4078446.048560791183263,362576.168826838606037,4077204.098631331697106
"29012","9976","1",3213.558572355197612,348562.003348424739670,4080350.951995897572488,348019.237242155824788,4077183.561326617375016
29015_AM,"10473","1",1822.407254746754006,358942.695355879841372,4099769.105172729119658,360281.894566411850974,4098533.098021995276213
"29017","9571","1",16.397722242600615,376338.588778897479642,4107524.983915910124779,376328.799491332203615,4107538.138958430383354
29018_AM,"9077","1",753.763568276291608,335772.726302658440545,4083640.479481941554695,335621.568614663381595,4082902.027811064850539
